"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.1,0.06,0.01,-0.02,298.44,193.95,30.69,122.24,0.13,0.09,0.43,0.27,0.02,0.04,0.06,0.13,0.3,0.34,"1311","1311",16,16,173.2,173.2
0.04,0.07,0.01,0,107.65,118.76,75.88,62.44,0.06,0.06,0.17,0.24,0.02,0.01,0.06,0.05,0.28,0.16,"4659","4659",14,14,222,222
0.06,0.05,0,0,15.36,14.63,41.03,34.86,0.03,0.02,0.13,0.09,0.07,0.09,0.36,0.41,0.07,0.07,"3512","3512",11,11,20905,20905
0.16,0.16,-0.26,0,309.25,138.67,233.22,55.68,0.21,0.24,0.74,0.75,0.01,0.01,0.04,0.04,0.06,0.06,"3092","3092",16,16,237,237
0.5,1,-0.01,0.09,7725.56,12003.81,-3460.82,2584.94,0.34,0.39,0.56,0.66,0,0,0,0,0.42,0.35,"1311","1311",16,16,267.4,267.4
0.05,0.05,0,0,165.15,199.37,24.81,22,0.05,0.01,0.11,0.02,0.01,0,0.03,0.01,0.55,0.6,"6810","6810",17,17,186.95,186.95
0.15,0.14,0.02,0.02,19.37,20.44,35.56,33.92,0.06,0.06,0.4,0.28,0.01,0.02,0.04,0.07,0.06,0.11,"2029","2029",18,18,1300,1300
0.07,0.07,0.01,0.01,9.51,8.23,49.59,42.64,0.03,0.02,0.11,0.09,0.08,0.08,0.36,0.4,0.03,0.03,"3512","3512",11,11,9892,9892
-0.01,-0.13,-0.04,-0.14,66.08,80.74,30.41,37.79,0.19,0.1,0.34,0.2,0.05,0.03,0.12,0.05,0.21,0.25,"126","126",11,11,1150,1150
0.28,0.38,0.01,0.16,439.83,996.99,1220.11,2807.73,0.01,0.01,0.02,0.02,0.13,0.11,0.29,0.33,0.2,0.22,"4101","4101",16,16,300,300
0.1,0.08,0.03,0.04,158.23,232.9,17.6,43.32,0.06,0.07,0.07,0.08,0.12,0.1,0.35,0.26,0.43,0.43,"4631","4631",11,11,4359.39,4359.39
0.13,0.08,-0.01,-0.02,675.81,1632.49,256.29,512.66,0.03,0.02,0.12,0.06,0,0,0,0.01,0.25,0.35,"1020","1020",16,16,400,400
0.11,0.11,-0.01,-0.18,417.88,293.19,488.66,354.27,0.03,0.05,0.04,0.21,0.08,0.03,0.13,0.08,0.49,0.23,"4669","4669",11,11,370,370
0.55,0.3,2.12,-0.03,35916.67,9058.67,59.13,18.2,0.62,0.89,0.65,0.9,0,0.04,0.02,0.08,0.32,0.03,"6810","6810",16,16,170,170
0.11,0.05,0.01,0.01,43.2,47.89,107.56,49.86,0.52,0.43,0.68,0.55,0.02,0.06,0.03,0.08,0.18,0.27,"4669","4669",15,15,192.3,192.3
0.06,0.03,0.03,0.01,541.52,1281.4,558.38,1130.58,0.17,0.17,0.2,0.21,0.08,0.04,0.11,0.06,0.58,0.61,"4212","4212",11,11,700,700
0.33,0.29,0.06,0.08,24.13,17.17,66.32,67,0,0,0,0,0.01,0.03,0.52,0.87,0.01,0.01,"7911","7911",16,16,250,250
0.1,0.02,0.14,0.5,1776.83,8045.14,4616.02,17188.25,0.08,0.05,0.11,0.06,0,0.06,0.01,0.07,0.65,0.67,"2910","2910",11,11,876.03,876.03
0.02,0.01,0,0,130.43,108.5,100.22,75.82,0,0,0,0,0.08,0,0.08,0,0.88,0.97,"4669","4669",11,11,220,220
0.38,0.34,0.11,0.1,88.41,561.64,84.72,796.94,0.16,0.01,0.2,0.04,0.1,0.02,0.5,0.81,0.25,0.31,"6810","6810",14,14,206.68,206.68
0.11,0.11,0.1,0.09,160.49,196.61,164.51,146.89,0.05,0.1,0.07,0.12,0.17,0.07,0.49,0.23,0.33,0.42,"8130","8130",16,16,310,310
0.09,0.13,0.01,0.02,166.5,164.61,43.22,150.34,0,0,0.01,0.01,0.03,0.05,0.09,0.13,0.3,0.28,"3811","3811",16,16,626,626
0.07,0.07,0.04,0.04,101.9,122.06,278.54,259.78,0.03,0.02,0.1,0.07,0.01,0,0.06,0.01,0.23,0.3,"3700","3700",16,16,459,459
0.45,0.56,0.17,0.19,51,43.4,664.89,1357.76,0.39,0.34,0.56,0.5,0.17,0.15,0.41,0.43,0.05,0.05,"6810","6810",15,15,430,430
0.1,0.13,0.05,0.03,76.98,50.81,62.09,59.84,0.28,0.28,0.65,0.64,0.08,0.04,0.41,0.24,0.07,0.08,"2740","2740",16,16,510,510
0.21,0.35,0.16,0.1,218.86,142.27,1293.7,208.72,0.65,0.58,0.83,0.81,0.04,0.03,0.06,0.05,0.07,0.1,"6810","6810",10,10,3981,3981
0.1,0.14,0.03,0.05,18558.33,15902.09,11037.21,1696.15,0.03,0.11,0.04,0.13,0,0.01,0.01,0.02,0.9,0.83,"4101","4101",14,14,500,500
0.61,0.53,0.27,0.1,111.53,99.83,465.08,340.31,0.02,0.02,0.09,0.06,0.14,0.13,1.44,1.37,0.08,0.07,"3600","3600",13,13,4226,4226
0.09,0.1,0.34,0.23,208.3,150.17,188.45,314.94,0.44,0.37,0.73,0.59,0.02,0.09,0.06,0.26,0.14,0.14,"6810","6810",10,10,4300,4300
0.92,0.97,4.57,4.75,3591.49,3301.16,4120.55,6856.12,0,0,0,0,0.09,0.09,2.1,2.05,0.15,0.14,"2394","2394",10,10,11958,11958
0.1,0.06,0.01,-0.02,328.63,366.25,103.7,104.34,0.31,0.28,0.37,0.43,0.04,0.05,0.11,0.12,0.48,0.33,"4290","4290",16,16,205.5,205.5
0.9,0.91,-0.09,0.14,14.14,12.99,271.74,575.42,0,0,0.03,0.07,0,0.01,0.14,0.25,0.01,0,"5510","5510",23,23,333,333
0.03,0.22,0.21,0.68,264.83,277.32,53.26,36.65,0,0,0,0,0.86,0.88,135.99,112.29,0.03,0.03,"5510","5510",11,11,980,980
0.44,0.33,0,-0.01,1557.15,1610.23,567.67,534.4,0.01,0,0.05,0.02,0.01,0,0.01,0.01,0.54,0.53,"8299","8299",16,16,200,200
0.06,0.06,0.07,0.08,137.21,126.18,101.76,87.94,0.08,0.05,0.19,0.16,0.07,0.06,0.22,0.32,0.22,0.19,"5229","5229",11,11,268,268
0.01,0.01,0,0,177.09,165.18,118.3,124.57,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0.92,0.93,"8299","8299",16,16,506.07,506.07
0.17,0.2,0.61,0.91,140.36,147.14,107.07,105.08,0,0,0,0,0.32,0.33,14.44,16.65,0.03,0.04,"7912","7912",16,16,1228,1228
0.23,0.23,0.38,0.37,75.95,66.44,104.11,97.36,0,0,0,0,0.1,0.07,1.64,1.19,0.03,0.03,"7990","7990",11,11,2850,2850
0.04,0.04,0.01,0.01,3.97,5.65,3.47,2.54,0.02,0.03,0.06,0.06,0.03,0.04,0.05,0.06,0.28,0.35,"4661","4661",11,11,272.6,272.6
0.07,0.06,0.03,0.03,182.32,259.92,301.57,379.18,0.12,0.06,0.18,0.09,0.07,0.09,0.11,0.13,0.46,0.5,"6810","6810",11,11,525,525
0.02,0.03,0.01,0.02,22.93,24.45,32.33,32.65,0.43,0.41,0.48,0.46,0.09,0.12,0.1,0.16,0.36,0.35,"4661","4661",11,11,550,550
0.05,0.05,0,0.01,440.29,904.97,215.42,576.36,0,0,0,0,0.02,0.02,0.05,0.04,0.55,0.55,"8299","8299",15,15,800,800
0.16,0.1,-0.02,-0.02,1423.05,1573.47,564.79,700.99,0.02,0,0.03,0,0.01,0.01,0.04,0.02,0.76,0.78,"4719","4719",12,12,550,550
0.07,0.01,0.03,0,114.99,161.58,2390.14,9369.04,0.52,0.56,0.55,0.63,0,0,0,0,0.12,0.3,"6810","6810",16,16,180,180
-0.01,0.13,-0.13,-0.01,850.94,1214.87,514.34,917.12,0.07,0.06,0.12,0.11,0.03,0.04,0.06,0.08,0.45,0.44,"4212","4212",11,11,589.91,589.91
0.22,0.22,0.11,0.09,64.45,45.44,46.69,39.88,0.17,0.25,0.38,0.55,0.01,0.01,0.03,0.03,0.16,0.1,"1811","1811",17,17,596,596
0.07,0.16,0,0.02,340.7,176.45,322.45,244.83,0.24,0.23,0.29,0.28,0.06,0.05,0.08,0.07,0.47,0.51,"4299","4299",10,10,500,500
0.1,0.09,0,0,292.76,333.82,177.14,81.71,0.04,0.35,0.07,0.43,0,0.04,0.01,0.05,0.58,0.41,"4299","4299",15,15,250,250
0.47,0.46,0.42,0.39,130.28,137.25,233,201.97,0.06,0.04,0.17,0.12,0.03,0.08,0.22,0.54,0.17,0.19,"6120","6120",11,11,140939.47,140939.47
0.2,0.18,0.04,0.03,62.42,130.3,381.34,434.16,0.01,0,0.01,0.02,0.02,0,0.06,0.01,0.09,0.25,"4299","4299",11,11,327.74,327.74
0.08,0.07,0.01,0.02,79.87,75.14,142.46,153.74,0.4,0.41,0.44,0.46,0.03,0.04,0.04,0.05,0.41,0.39,"4649","4649",18,18,198.45,198.45
0.01,0.01,0,0,39.45,101.84,65.25,395.72,0.64,0.36,0.7,0.41,0.01,0.01,0.01,0.02,0.19,0.45,"4290","4290",15,15,300,300
0.84,0.84,0.7,0.7,181.14,208.66,190.12,180.88,0,0,0,0,0,0.14,0.32,15.35,0.07,0.04,"6499","6499",14,14,7008.86,7008.86
0.43,0.46,0.15,0.15,149.76,197.87,201.93,236.34,0.01,0.01,0.02,0.03,0.02,0.01,0.08,0.12,0.37,0.26,"5510","5510",10,10,258.96,258.96
0.21,0.37,-0.19,0.27,388.65,208.14,-13130,23256.74,0.36,0.15,0.56,0.38,0.13,0.05,0.49,0.09,0.15,0.18,"2910","2910",10,10,320,320
0.16,0.15,0.09,0.07,75.83,81.07,4.27,28.41,0.24,0.12,0.36,0.22,0.14,0.1,6.02,0.69,0.29,0.33,"7500","7500",22,22,200,200
0.03,0.03,0.02,-0.01,217.55,286.52,77.72,129.44,0.03,0.05,0.06,0.09,0.02,0.03,0.03,0.05,0.7,0.64,"4632","4632",11,11,430.49,430.49
0.48,0.56,-0.01,0.14,22.63,14.17,131.86,115.04,0,0,0,0,0.04,0.03,0.89,0.96,0.01,0.01,"6810","6810",14,14,179.86,179.86
0.04,0.05,0.02,0.03,28.53,25.34,51.16,36.97,0.19,0.18,0.32,0.28,0.35,0.3,2.65,3.08,0.08,0.09,"1811","1811",27,27,1578.31,1578.31
0.25,0.22,0.19,0.19,115.9,119.09,178.73,175.66,0,0,0,0,0.04,0.05,0.29,0.35,0.09,0.11,"910","910",14,14,59700,59700
0.64,0.64,0.07,0,322.59,1630.11,2851.2,5745.56,0.03,0,0.08,0,0.02,0,0.04,0.09,0.14,0.09,"4101","4101",22,22,300,300
0.07,0.05,0.01,0.01,352.8,792.14,339.13,650.93,0.13,0.13,0.21,0.19,0.05,0.02,0.07,0.02,0.43,0.55,"4210","4210",11,11,300,300
0.09,0.09,0.03,0.02,699.96,988.74,648.37,1229.86,0,0,0.01,0.01,0.04,0.01,0.11,0.02,0.27,0.22,"6810","6810",15,15,5510.09,5510.09
0.26,0.17,0.17,0.04,115.99,90.47,102.87,148.43,0.29,0.31,0.67,0.88,0.01,0.01,0.03,0.05,0.14,0.03,"4649","4649",25,25,200,200
0.02,0.02,0.02,0.02,639.07,568.37,746.2,612.32,0.1,0.1,0.16,0.17,0,0,0.01,0.01,0.52,0.48,"6810","6810",14,14,15000,15000
-0.06,0.91,-0.09,0.47,134.73,6440.51,112.32,4102.23,0.05,0.02,0.06,0.02,0.17,0.01,0.65,0.08,0.58,0.92,"8560","8560",29,29,200,200
0.84,0.84,0.37,0.34,462.36,415.64,593.05,524.92,0,0,0,0,0,0.01,0.03,0.06,0.13,0.12,"5225","5225",26,26,189,189
0.11,0,0.58,0.01,72050.55,650.38,141898.14,694.8,0,0,0,0,0,0,0.03,0.02,0.33,0.4,"810","810",14,14,2000,2000
0.04,0.16,1.75,0.84,446.72,2308.49,1019.89,5887.93,0.01,0,0.03,0.01,0.02,0.06,0.05,0.15,0.15,0.2,"6619","6619",27,27,200,200
0.07,0.24,0.02,0.19,435.05,679.84,305.68,574.81,0.03,0.03,0.08,0.09,0.01,0,0.02,0.01,0.41,0.38,"4299","4299",28,28,415,415
0.11,0.12,0.05,0.06,102.51,136.56,52.78,60.28,0.19,0.21,0.26,0.31,0.05,0.02,0.07,0.04,0.34,0.39,"4659","4659",14,14,252,252
0.09,0.17,0,0.12,109.09,44.16,125.34,66.77,0,0,0,0,0.07,0.1,0.33,0.85,0.08,0.12,"6810","6810",27,27,300,300
-2.23,0.02,-2.27,-10.44,362.19,47347.8,862.35,725650.42,0.01,0.01,0.04,0.05,0,0,0.02,0.13,0.04,0.04,"6810","6810",14,14,800,800
-0.04,0.3,-0.05,-0.31,140.84,6188.77,20.5,-215.59,0.29,0.06,0.32,0.07,0.29,0.16,2.8,1.62,0.26,0.64,"6810","6810",24,24,189,189
0.78,0,2.39,0.5,76072.04,6032.22,-6609.47,2307.32,0,0,0,0,0,0.06,0.01,2.15,0.62,0.45,"4101","4101",25,25,560,560
0.12,0.14,-0.01,0,150.06,141.16,196.31,139.41,0.11,0.18,0.37,0.41,0.04,0.03,0.08,0.05,0.15,0.22,"7110","7110",16,16,189,189
0.09,0.2,0.01,0.03,326.34,213.24,251.57,208.66,0.05,0.05,0.18,0.67,0.03,0.01,0.18,0.15,0.2,0.01,"2511","2511",29,29,400,400
0.01,0.01,0,0,10.22,6.55,7.85,8.31,0.32,0.42,0.53,0.66,0.04,0.02,0.13,0.04,0.23,0.19,"4773","4773",14,14,3000,3000
0.29,0.35,0.22,0.27,40.57,59.69,22.82,-245.93,0.83,0.23,0.89,0.4,0.02,0.04,0.05,0.12,0.07,0.31,"6810","6810",14,14,185,185
0.11,0.12,0.01,0.02,62.72,83.19,164.73,107.91,0.53,0.56,0.72,0.76,0.04,0.01,0.07,0.01,0.15,0.15,"2750","2750",27,27,350,350
0.49,0.41,0.13,0.1,7120.04,8118.12,4470.94,5320.53,0.17,0.16,0.23,0.22,0.02,0.01,0.03,0.03,0.53,0.56,"5510","5510",14,14,1000,1000
0.06,0.06,0.01,0.01,69.02,85.45,3.52,3.05,0.55,0.59,0.71,0.73,0.01,0.01,0.16,0.05,0.12,0.15,"2813","2813",28,28,400,400
0.05,0.04,0.01,-0.05,139.78,352.31,22.31,4.17,0,0,0.02,0.01,0.02,0.11,0.1,0.5,0.18,0.28,"7110","7110",18,18,679,679
0.09,0.46,0.27,-10.12,915.8,16101.4,52.11,103.44,0,0,0,0,0.01,0,0.23,0.1,0.43,0.46,"4690","4690",23,23,286,286
0.06,0.04,0,0,589.35,403.04,69.71,24.97,0.32,0.37,0.76,0.91,0.01,0,0.03,0.01,0.62,0.59,"4663","4663",13,13,312,312
0.14,0.59,0.1,0.47,118.37,319.89,100.6,436.83,0.05,0,0.06,0,0,0.02,0,0.18,0.32,0.31,"6810","6810",16,16,450,450
0.44,0.42,0.18,0.18,18.16,21.38,82.49,78.98,0.21,0.15,0.3,0.23,0.14,0.17,0.46,0.71,0.08,0.08,"1709","1709",14,14,360,360
0.82,0.59,0.01,0,2378.54,12110.86,5848.49,17477.89,0,0,0,0,0,0,0.02,0,0.22,0.21,"6810","6810",14,14,240,240
0.07,0.06,0,0,275.23,299.73,200.36,197.14,0.04,0.05,0.07,0.07,0.13,0.13,0.17,0.17,0.56,0.57,"4390","4390",25,25,800,800
0.03,0.04,0.01,0.01,204.8,233.67,247.78,401.03,0.43,0.4,0.53,0.5,0.01,0.02,0.03,0.03,0.36,0.38,"4299","4299",28,28,600,600
0.25,0.19,0.05,0.12,319.95,440.07,769.21,522.8,0.1,0.11,0.22,0.23,0.08,0.01,0.27,0.02,0.34,0.42,"6810","6810",14,14,9600,9600
0.06,0.08,0.04,0.05,27.25,76.2,24.69,26.07,0.53,0.4,0.67,0.56,0.03,0.02,0.05,0.07,0.19,0.29,"7110","7110",26,26,360,360
0.66,0.99,10.26,-0.27,63897.96,103432.4,-247911.72,-4.4e+13,0,0,0,0,0.01,0,0,0,0.52,0.52,"4299","4299",24,24,600,600
0.02,0.03,-0.09,-0.04,164,255.11,165.09,297.26,0.17,0.17,0.29,0.38,0.01,0.01,0.03,0.04,0.39,0.58,"4649","4649",25,25,500,500
0.04,0.05,0.01,0.01,5172.67,7497.3,85.37,92.3,0.06,0.06,0.47,0.42,0.01,0.03,0.07,0.3,0.89,0.87,"8291","8291",28,28,3000,3000
0.12,0.19,0,0.11,113.28,313.64,114.69,62.86,0.7,0.36,0.73,0.38,0.04,0.05,0.05,0.12,0.19,0.53,"6810","6810",14,14,550,550
0.05,0.05,0.01,0.01,592.89,696.71,18.51,33.21,0,0,0,0,0,0,0.18,0.01,0.36,0.35,"2410","2410",25,25,1500,1500
0.33,0.34,-0.2,-0.01,2842.21,1869.72,301.47,287.77,0.01,0.01,0.02,0.04,0.01,0.01,0.07,0.07,0.47,0.28,"5510","5510",22,22,700,700
0.07,0.07,0.01,0,54.92,54.9,30.05,24.9,0.32,0.39,0.4,0.47,0.02,0.05,0.02,0.07,0.45,0.38,"4520","4520",26,26,200,200
0.17,0.17,1.54,1.36,2748.36,3275.88,2215.63,2836.37,0,0,0,0,0.03,0.01,0.25,0.09,0.3,0.3,"910","910",11,11,281500.01,281500.01
0.11,0.21,0.09,0.11,19.98,38.48,119.81,120.62,0.01,0.02,0.03,0.04,0.02,0.02,0.1,0.09,0.02,0.06,"6110","6110",11,11,72237,72237
0.32,0.32,0.16,0.18,17.1,18.61,98.31,97.12,0.01,0,0.01,0.01,0.1,0.03,0.34,0.12,0.06,0.05,"6120","6120",11,11,15000,15000
0.02,0.02,-0.01,0,0.39,3.01,0.46,100.91,0.42,0.12,0.89,0.15,0.04,0.01,0.62,0.01,0,0.02,"4773","4773",13,13,206,206
0.05,0.12,0.03,0.04,200.39,270.42,143.2,247.17,0.26,0.17,0.3,0.21,0.08,0.05,0.12,0.09,0.5,0.59,"4212","4212",11,11,666,666
0.05,0.03,0,-0.02,118.86,118,0.43,14.07,0,0,0,0.02,0.02,0.02,0.08,0.06,0.26,0.27,"4690","4690",23,23,230,230
0.28,0.39,-0.03,0.04,556.39,857.01,93.96,93.66,0,0.01,0.16,0.52,0,0,0.02,0.06,0.17,0.1,"4299","4299",17,17,200,200
0.62,0.69,0.61,-0.53,5946.74,13755.51,6828.28,7388.13,0,0,0,0,0.34,0.01,0.89,0.03,0.27,0.59,"5510","5510",16,16,200,200
0.07,0.06,0.02,0.02,105.49,83.6,56.84,56.73,0.3,0.34,0.42,0.54,0.01,0.02,0.02,0.03,0.4,0.27,"6810","6810",15,15,216,216
0.03,0.12,2.79,2.85,1517.21,2529.82,767,1046.83,0,0,0.03,0,0,0,0.35,0.27,0.07,0.19,"6810","6810",25,25,800,800
0.29,0.24,0.05,0.22,1428.71,9767.25,5023.18,59438.92,0.07,0.02,0.41,0.07,0.01,0.01,0.34,0.17,0.12,0.81,"4690","4690",23,23,700,700
-0.33,-0.59,-0.34,-0.6,761.23,2803.93,167.74,142.44,0.8,0.77,0.83,0.8,0,0,0,0.01,0.16,0.18,"6810","6810",23,23,297.94,297.94
